line,x,y,Color
0,19.36573424,6.037213312,#4d991a
1,20.885731,25.83370282,#4d991a
2,78.8872621,22.13837989,#4d991a
3,5.110265213,98.12444223,#4d991a
4,53.96067677,70.56387653,#4d991a
5,70.17594185,37.06580443,#4d991a
6,87.35646248,17.26457612,#4d991a
7,86.17616392,84.54745135,#4d991a
8,52.4612138,2.022976611,#4d991a
9,11.1799531,0.408092017,#4d991a
10,36.74880808,95.48921417,#4d991a
11,92.53654654,98.87765681,#4d991a
12,43.54331435,98.74789884,#4d991a
13,94.18366496,12.65736556,#4d991a
14,94.4728452,30.87490755,#4d991a
15,48.07085358,36.8294439,#4d991a
16,57.77110376,57.3206657,#4d991a
17,68.15187946,2.74381637,#4d991a
18,34.87140205,43.66984601,#4d991a
19,0.101615534,95.89007977,#4d991a
20,75.00506088,41.66511391,#4d991a
21,44.69181939,65.03455556,#4d991a
22,12.28946851,67.7238742,#4d991a
23,39.57543988,75.77140342,#4d991a
24,45.66470894,13.83434771,#4d991a
25,80.82752798,88.27599657,#4d991a
26,93.2585183,2.167017742,#4d991a
27,85.25136595,57.62923753,#4d991a
28,68.9501905,52.41234048,#4d991a
29,7.133108099,50.69726294,#4d991a
30,3.044831155,57.26687397,#4d991a
31,32.84683873,80.93978642,#4d991a
32,28.73531036,95.50215262,#4d991a
33,39.53218866,3.464625937,#4d991a
34,98.64696084,37.83634676,#4d991a
35,65.00600824,11.26041976,#4d991a
36,15.44353074,11.30220103,#4d991a
37,99.90377757,98.14400017,#4d991a
38,93.67340315,40.14612363,#4d991a
39,47.07544652,89.29353927,#4d991a
40,14.49076715,74.63025263,#4d991a
41,91.4076613,64.27491139,#4d991a
42,81.52982765,30.15123807,#4d991a
43,43.04844257,11.43367104,#4d991a
44,8.774756738,31.706204,#4d991a
45,77.58349745,66.68536225,#4d991a
46,80.98359184,19.66276159,#4d991a
47,88.3415754,88.86196557,#4d991a
48,61.6010774,63.32819372,#4d991a
49,92.20958715,91.40945169,#4d991a
50,84.90391485,64.98234837,#4d991a
51,9.709069763,3.091567297,#4d991a
52,53.59292376,93.03855413,#4d991a
53,88.46974209,27.09778017,#4d991a
54,22.0212691,34.65424845,#4d991a
55,62.89384864,58.37835335,#4d991a
56,16.72185842,87.99237065,#4d991a
57,64.59733859,38.61179342,#4d991a
58,78.28893894,34.25471472,#4d991a
59,12.33321424,27.67256499,#4d991a
60,50.43113124,96.94105237,#4d991a
61,42.84953267,49.9043553,#4d991a
62,42.09045555,42.49494599,#4d991a
63,34.22999801,90.5676235,#4d991a
64,5.319219357,30.94355474,#4d991a
65,51.40913701,41.52404342,#4d991a
66,54.99077652,22.88546009,#4d991a
67,22.14341782,84.94241753,#4d991a
68,95.83537671,47.24402884,#4d991a
69,44.00418389,76.16014809,#4d991a
70,10.51999082,23.01668028,#4d991a
71,64.83427004,76.55971478,#4d991a
72,70.48251231,57.68505459,#4d991a
73,32.47053351,21.24205531,#4d991a
74,50.91032872,25.25672623,#4d991a
75,3.390792142,37.70715997,#4d991a
76,50.81544078,85.69492748,#4d991a
77,85.03399037,77.75082515,#4d991a
78,32.95253992,49.15079638,#4d991a
79,39.86570684,62.57144236,#4d991a
80,12.12262931,50.25024484,#ff0000
81,52.13268728,13.37523394,#4d991a
82,9.848694751,17.88788145,#4d991a
83,66.21799738,24.00758923,#4d991a
84,56.05870789,96.2562041,#4d991a
85,16.12501453,28.93075889,#4d991a
86,32.78233349,4.163440164,#4d991a
87,24.81314627,27.2409686,#4d991a
88,82.70158172,46.45191973,#4d991a
89,67.00512144,32.62380963,#4d991a
90,37.29324819,99.49988509,#4d991a
91,39.32574474,67.01030669,#4d991a
92,6.987247062,95.53174811,#4d991a
93,61.79511022,28.22038364,#4d991a
94,6.369490715,14.55555227,#4d991a
95,66.9370921,67.99383031,#4d991a
96,23.05922116,52.73804468,#4d991a
97,60.60509138,2.645315989,#4d991a
98,7.055467472,55.7289977,#4d991a
99,98.3461881,90.79968663,#4d991a
