,x,y,Color
0,11.34301832,79.99522096,#9f8004
1,51.81808279,5.351553549,#9f8004
2,34.79823452,78.80792108,#9f8004
3,88.56026196,60.83753182,#9f8004
4,6.906717993,94.41687312,#9f8004
5,19.46696087,75.15787367,#9f8004
6,73.198452,3.183097123,#9f8004
7,73.33059077,15.69441624,#9f8004
8,59.2597768,56.03810521,#9f8004
9,14.97654934,25.68225108,#9f8004
10,56.28470498,80.97678987,#9f8004
11,45.05717513,3.02705028,#9f8004
12,40.82673826,90.74857066,#9f8004
13,22.52106801,71.79856844,#9f8004
14,80.50360288,21.47346378,#9f8004
15,71.04034191,51.70795579,#9f8004
16,41.4714574,53.55504488,#9f8004
17,34.31900971,86.27425228,#9f8004
18,9.641632139,63.00146803,#9f8004
19,50.68023993,96.44792741,#9f8004
20,82.61815462,4.661891169,#9f8004
21,11.31856144,67.58700974,#9f8004
22,68.95896938,75.69916139,#9f8004
23,47.71816033,70.13664714,#9f8004
24,53.03356823,81.77603936,#9f8004
25,27.70918241,51.15577896,#9f8004
26,89.5869493,17.91848405,#9f8004
27,77.74356371,1.857261371,#9f8004
28,50.98885586,24.36503864,#9f8004
29,16.84187103,69.09091734,#9f8004
30,8.256486438,15.34246419,#9f8004
31,96.92974381,67.3562576,#9f8004
32,40.33174013,77.07015122,#9f8004
33,82.91512576,11.15503729,#9f8004
34,29.00260128,67.18870577,#9f8004
35,42.05486017,80.95930993,#9f8004
36,18.00704146,25.07753775,#9f8004
37,94.16368989,3.142650619,#9f8004
38,74.9516001,62.85826649,#9f8004
39,68.30576734,79.56038537,#9f8004
40,1.02601831,84.70926562,#9f8004
41,33.80799366,45.42403922,#9f8004
42,42.11889969,28.6255558,#9f8004
43,98.22599026,25.99587438,#9f8004
44,94.63387078,79.64690228,#9f8004
45,10.087493,97.25538065,#9f8004
46,44.26573224,23.05264659,#9f8004
47,48.28741628,46.70425053,#9f8004
48,74.58947782,36.911031,#9f8004
49,8.144996608,65.63540025,#9f8004
50,37.23639816,32.76333295,#9f8004
51,49.57145475,74.56243905,#9f8004
52,16.04682073,53.11977419,#9f8004
53,99.07272953,38.56962549,#9f8004
54,14.85376157,98.43709608,#9f8004
55,28.69235318,74.07774333,#9f8004
56,72.14727447,47.10080881,#9f8004
57,77.13330153,19.68346387,#9f8004
58,59.05170722,77.081739,#9f8004
59,69.62608598,64.02534788,#9f8004
60,50.66499279,40.13758725,#9f8004
61,10.27575191,37.74180638,#9f8004
62,47.11838497,14.72448285,#9f8004
63,65.60676135,18.30370821,#9f8004
64,88.70385162,29.67541626,#9f8004
65,96.85389276,72.79729239,#9f8004
66,93.13687094,85.18622405,#9f8004
67,5.516010985,16.82824327,#9f8004
68,98.61625384,20.02436655,#ff0000
69,61.25906993,88.74922956,#9f8004
70,57.33243706,8.915141023,#9f8004
71,25.7639445,60.71398043,#9f8004
72,6.445886267,50.24197881,#9f8004
73,81.62794894,28.05415581,#9f8004
74,73.23072157,41.6886519,#9f8004
75,90.72728687,52.39049445,#9f8004
76,57.05530103,98.92775683,#9f8004
77,38.76483621,59.19372209,#9f8004
78,1.593454072,81.2210661,#9f8004
79,29.15920291,13.16265643,#9f8004
80,82.31553286,76.57861094,#9f8004
81,27.88882285,36.05399522,#9f8004
82,89.78841861,99.19927762,#9f8004
83,92.00513537,73.79568655,#9f8004
84,55.42545959,0.636627265,#9f8004
85,47.64057294,29.5195465,#9f8004
86,79.97692163,31.82921629,#9f8004
87,96.74028183,97.05036861,#9f8004
88,38.32503366,13.80221658,#9f8004
89,14.55216758,91.28615861,#9f8004
90,90.26222787,63.60153119,#9f8004
91,33.99524743,22.97469209,#9f8004
92,72.23913823,84.66711554,#9f8004
93,90.53047475,36.90974289,#9f8004
94,95.98904657,13.0817926,#9f8004
95,16.80272971,13.28666332,#9f8004
96,93.98166287,48.49794956,#9f8004
97,12.27170919,43.52954966,#9f8004
98,22.71719314,62.79994264,#9f8004
99,55.01301829,73.43810695,#9f8004
