,x,y,Color
0,67.59020079,0.36072144,#c06c00
1,79.1312133,29.72369267,#c06c00
2,72.49204706,15.32073811,#c06c00
3,98.57744246,48.91864148,#c06c00
4,9.962683386,45.90465134,#c06c00
5,77.20517359,86.05615681,#c06c00
6,41.8262434,70.76498356,#c06c00
7,3.497547993,62.97500623,#c06c00
8,77.03586093,96.16628953,#c06c00
9,60.08494669,25.25646946,#c06c00
10,56.05191642,71.28631601,#c06c00
11,11.67848269,71.27657564,#c06c00
12,4.568869378,59.87363212,#c06c00
13,17.52024495,94.05180758,#c06c00
14,64.72507468,20.27067697,#c06c00
15,66.10163041,52.74740256,#c06c00
16,72.9532661,66.75680372,#c06c00
17,38.27591646,16.77310824,#c06c00
18,2.256037601,68.87038857,#c06c00
19,80.38213591,89.30765962,#c06c00
20,8.289948987,2.949246554,#c06c00
21,33.63732235,8.455161953,#c06c00
22,10.56664868,23.0673624,#c06c00
23,33.52211474,56.1263066,#c06c00
24,39.53397864,72.96854234,#c06c00
25,73.81504613,75.80876422,#c06c00
26,31.13952768,5.076313988,#c06c00
27,1.554427187,9.815074316,#c06c00
28,83.39986363,86.96095928,#c06c00
29,87.21553995,59.09999076,#c06c00
30,65.06088568,16.71614729,#c06c00
31,35.78290307,53.43401189,#ff0000
32,3.918980033,25.57908635,#c06c00
33,61.20276287,63.58522097,#c06c00
34,28.13116457,8.83636928,#c06c00
35,91.45498437,42.03207885,#c06c00
36,4.781168202,39.91559958,#c06c00
37,42.49659141,61.115368,#c06c00
38,0.481601326,59.49557726,#c06c00
39,9.533461318,40.50102225,#c06c00
40,75.67354587,51.34548214,#c06c00
41,56.44588665,57.35925914,#c06c00
42,40.5194905,94.41530012,#c06c00
43,17.03560803,34.19699724,#c06c00
44,13.55920254,24.16462276,#c06c00
45,65.79943442,65.93396932,#c06c00
46,33.85057753,18.10610891,#c06c00
47,52.44047514,78.67419437,#c06c00
48,13.47166146,51.30073631,#c06c00
49,89.76239128,21.61868506,#c06c00
50,74.36208784,33.32502528,#c06c00
51,82.17440285,30.07916998,#c06c00
52,8.371180907,72.78098019,#c06c00
53,41.91041079,28.75799945,#c06c00
54,28.96686897,37.86359081,#c06c00
55,41.78739568,9.152306191,#c06c00
56,13.13340759,57.4912113,#c06c00
57,80.71796365,16.17147044,#c06c00
58,62.95593268,3.072453877,#c06c00
59,39.47988154,88.18587059,#c06c00
60,99.91425902,28.70143292,#c06c00
61,59.82548549,77.08157,#c06c00
62,57.27793564,2.168796582,#c06c00
63,27.16657323,86.15227172,#c06c00
64,26.65355702,41.77721887,#c06c00
65,12.46660018,10.63854724,#c06c00
66,56.4698707,15.62602436,#c06c00
67,22.54934268,0.534641845,#c06c00
68,79.81041946,7.899540933,#c06c00
69,44.59026277,73.54888644,#c06c00
70,73.2118873,45.68692355,#c06c00
71,16.42020171,65.35920147,#c06c00
72,6.301142408,20.46059879,#c06c00
73,61.53025424,52.48017243,#c06c00
74,61.66486963,72.09828467,#c06c00
75,9.168094196,99.65412566,#c06c00
76,37.13679756,91.38212584,#c06c00
77,49.07151791,40.33384493,#c06c00
78,52.06379926,42.39175056,#c06c00
79,97.96534654,0.396441217,#c06c00
80,41.33917242,19.94161067,#c06c00
81,47.75463486,77.05595699,#c06c00
82,72.25711999,3.146278684,#c06c00
83,76.21744094,68.03068889,#c06c00
84,89.75130443,31.96396769,#c06c00
85,62.64842489,0.007535226,#c06c00
86,25.52337051,2.626080709,#c06c00
87,88.82853321,43.69408719,#c06c00
88,39.12988486,3.367674282,#c06c00
89,90.99810851,61.39560948,#c06c00
90,94.56286198,17.21684421,#c06c00
91,89.68967002,92.51306848,#c06c00
92,86.35460976,53.27896325,#c06c00
93,22.56987802,92.53062644,#c06c00
94,95.90754905,62.19179644,#c06c00
95,3.256866923,49.71390317,#c06c00
96,53.18213955,63.79000544,#c06c00
97,6.210799634,13.21464266,#c06c00
98,64.87079032,47.21733489,#c06c00
99,81.84448434,60.62568501,#c06c00
