trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,78,71
2,Tree Map,70,74
3,Stack Chart,60,70
4,Tree Map,80,68
5,Stack Chart,60,67
6,Bubble Chart,90,92
7,Tree Map,65,70
8,Donut Chart,50,40
9,Stack Chart,76,72
10,Donut Chart,80,70
11,Bubble Chart,89,64
12,Bubble Chart,40,39
13,Donut Chart,55,57
14,Donut Chart,80,95
15,Tree Map,70,75
16,Stack Chart,40,51
17,Bubble Chart,60,78
18,Tree Map,45,35
19,Tree Map,35,25
20,Bubble Chart,76,65
21,Donut Chart,45,70
22,Tree Map,70,83
23,Donut Chart,70,80
24,Bubble Chart,60,59
25,Donut Chart,40,39
26,Tree Map,90,95
27,Donut Chart,70,90
28,Stack Chart,70,76
29,Donut Chart,78,61
30,Stack Chart,70,67
31,Stack Chart,80,93
32,Tree Map,90,71
33,Bubble Chart,45,33
34,Donut Chart,44,51
35,Tree Map,70,72
36,Bubble Chart,40,36
37,Bubble Chart,50,54
38,Stack Chart,50,85
39,Donut Chart,50,52
40,Tree Map,70,92
41,Donut Chart,80,79
42,Bubble Chart,70,53
43,Donut Chart,89,96
44,Donut Chart,89,84
45,Tree Map,89,95
46,Donut Chart,79,63
47,Bubble Chart,76,81
48,Tree Map,69,59
49,Donut Chart,48,88
50,Tree Map,78,63
51,Stack Chart,40,43
52,Donut Chart,79,79
53,Bubble Chart,60,58
54,Bubble Chart,80,96
55,Tree Map,90,94
56,Stack Chart,30,41
57,Donut Chart,80,76
58,Stack Chart,60,87
59,Tree Map,90,74
60,Tree Map,79,60
61,Bubble Chart,89,92
62,Tree Map,68,53
63,Donut Chart,77,86
64,Stack Chart,89,97
65,Tree Map,78,89
66,Donut Chart,80,81
67,Stack Chart,40,50
68,Stack Chart,57,75
69,Bubble Chart,65,52
70,Bubble Chart,90,92
71,Stack Chart,50,58
72,Bubble Chart,90,86
73,Bubble Chart,90,85
74,Bubble Chart,89,97
75,Stack Chart,78,90
76,Stack Chart,78,86
77,Stack Chart,87,100
78,Stack Chart,55,51
79,Stack Chart,88,93
80,Bubble Chart,78,76
