trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,35,35
2,Bubble Chart,40,33
3,Stack Chart,35,50
4,Bubble Chart,60,64
5,Stack Chart,50,57
6,Bubble Chart,50,55
7,Bubble Chart,80,78
8,Tree Map,100,95
9,Tree Map,50,68
10,Tree Map,50,70
11,Bubble Chart,50,57
12,Bubble Chart,70,62
13,Stack Chart,50,58
14,Stack Chart,50,54
15,Bubble Chart,40,65
16,Bubble Chart,70,73
17,Donut Chart,100,86
18,Tree Map,50,58
19,Stack Chart,100,95
20,Donut Chart,35,36
21,Stack Chart,50,60
22,Stack Chart,100,94
23,Stack Chart,60,75
24,Bubble Chart,80,76
25,Bubble Chart,80,75
26,Bubble Chart,50,58
27,Stack Chart,70,83
28,Bubble Chart,100,84
29,Bubble Chart,35,29
30,Bubble Chart,50,58
31,Stack Chart,50,60
32,Bubble Chart,100,85
33,Stack Chart,100,94
34,Donut Chart,50,52
35,Tree Map,70,71
36,Tree Map,80,77
37,Tree Map,70,72
38,Tree Map,80,73
39,Tree Map,30,40
40,Donut Chart,60,71
41,Tree Map,80,65
42,Tree Map,50,49
43,Tree Map,100,85
44,Donut Chart,50,59
45,Donut Chart,70,75
46,Donut Chart,100,77
47,Donut Chart,50,69
48,Donut Chart,100,92
49,Tree Map,10,16
50,Tree Map,100,89
51,Tree Map,20,43
52,Donut Chart,100,81
53,Tree Map,40,48
54,Donut Chart,100,87
55,Donut Chart,100,87
56,Stack Chart,50,77
57,Donut Chart,100,93
58,Bubble Chart,50,62
59,Bubble Chart,50,66
60,Donut Chart,100,87
61,Tree Map,40,57
62,Donut Chart,80,80
63,Stack Chart,60,83
64,Tree Map,100,78
65,Stack Chart,80,78
66,Bubble Chart,50,60
67,Donut Chart,60,87
68,Tree Map,90,97
69,Tree Map,100,93
70,Bubble Chart,100,95
71,Stack Chart,40,46
72,Stack Chart,50,61
73,Donut Chart,50,59
74,Stack Chart,50,59
75,Donut Chart,80,75
76,Bubble Chart,80,82
77,Stack Chart,100,98
78,Donut Chart,60,63
79,Stack Chart,80,86
80,Stack Chart,80,75
