trialNum,Vis Type,Reported Percent,True Percent
1,Stack Chart,50,47
2,Stack Chart,85,95
3,Tree Map,15,27
4,Stack Chart,90,82
5,Tree Map,17,33
6,Stack Chart,85,74
7,Stack Chart,95,85
8,Bubble Chart,75,66
9,Donut Chart,50,43
10,Stack Chart,87,87
11,Stack Chart,70,38
12,Bubble Chart,75,85
13,Stack Chart,10,23
14,Stack Chart,40,51
15,Stack Chart,60,81
16,Stack Chart,90,83
17,Bubble Chart,90,88
18,Tree Map,100,95
19,Stack Chart,90,86
20,Stack Chart,66,74
21,Stack Chart,65,71
22,Donut Chart,45,64
23,Stack Chart,60,74
24,Stack Chart,90,91
25,Stack Chart,90,72
26,Donut Chart,50,44
27,Stack Chart,70,80
28,Stack Chart,70,65
29,Bubble Chart,70,90
30,Stack Chart,50,46
31,Bubble Chart,40,48
32,Tree Map,11,20
33,Donut Chart,95,75
34,Donut Chart,100,82
35,Tree Map,90,76
36,Tree Map,100,95
37,Donut Chart,20,37
38,Tree Map,90,100
39,Tree Map,100,100
40,Tree Map,20,39
41,Bubble Chart,60,62
42,Donut Chart,100,84
43,Donut Chart,100,89
44,Tree Map,90,88
45,Bubble Chart,85,75
46,Bubble Chart,95,91
47,Tree Map,85,92
48,Tree Map,85,86
49,Tree Map,100,100
50,Tree Map,40,73
51,Bubble Chart,50,70
52,Tree Map,50,59
53,Tree Map,80,70
54,Tree Map,70,71
55,Tree Map,38,56
56,Donut Chart,100,87
57,Donut Chart,100,96
58,Tree Map,40,80
59,Tree Map,25,51
60,Donut Chart,45,87
61,Bubble Chart,70,84
62,Donut Chart,90,65
63,Donut Chart,70,72
64,Bubble Chart,100,98
65,Bubble Chart,60,71
66,Donut Chart,60,65
67,Donut Chart,50,59
68,Donut Chart,50,45
69,Bubble Chart,70,61
70,Bubble Chart,100,95
71,Donut Chart,100,92
72,Bubble Chart,60,62
73,Bubble Chart,80,75
74,Bubble Chart,100,94
75,Bubble Chart,20,32
76,Bubble Chart,55,57
77,Donut Chart,70,64
78,Bubble Chart,60,67
79,Donut Chart,70,70
80,Donut Chart,10,14
