trialNum,Vis Type,Reported Percent,True Percent
1,Bubble Chart,40,55
2,Donut Chart,70,67
3,Tree Map,60,76
4,Stack Chart,70,82
5,Tree Map,60,75
6,Bubble Chart,90,94
7,Tree Map,65,60
8,Stack Chart,65,71
9,Donut Chart,30,40
10,Tree Map,20,27
11,Tree Map,45,57
12,Bubble Chart,85,100
13,Tree Map,30,31
14,Bubble Chart,90,96
15,Tree Map,80,69
16,Tree Map,90,100
17,Stack Chart,10,14
18,Bubble Chart,70,76
19,Stack Chart,50,63
20,Stack Chart,60,56
21,Bubble Chart,60,63
22,Tree Map,100,93
23,Bubble Chart,60,62
24,Bubble Chart,50,37
25,Bubble Chart,80,76
26,Donut Chart,95,98
27,Bubble Chart,90,76
28,Donut Chart,80,84
29,Stack Chart,100,98
30,Bubble Chart,95,94
31,Donut Chart,20,19
32,Stack Chart,20,35
33,Stack Chart,20,34
34,Tree Map,100,91
35,Stack Chart,90,93
36,Tree Map,60,73
37,Bubble Chart,70,72
38,Tree Map,100,89
39,Donut Chart,90,97
40,Stack Chart,50,57
41,Stack Chart,80,87
42,Bubble Chart,70,55
43,Tree Map,80,97
44,Bubble Chart,80,82
45,Stack Chart,80,81
46,Tree Map,80,60
47,Donut Chart,60,67
48,Donut Chart,35,37
49,Stack Chart,60,63
50,Bubble Chart,95,88
51,Stack Chart,60,71
52,Tree Map,100,90
53,Donut Chart,70,72
54,Tree Map,90,90
55,Bubble Chart,60,53
56,Stack Chart,90,93
57,Donut Chart,70,67
58,Bubble Chart,100,98
59,Donut Chart,90,87
60,Bubble Chart,95,95
61,Stack Chart,50,52
62,Tree Map,95,98
63,Bubble Chart,90,92
64,Tree Map,80,95
65,Tree Map,70,83
66,Donut Chart,80,87
67,Bubble Chart,90,93
68,Stack Chart,60,59
69,Stack Chart,80,91
70,Donut Chart,60,70
71,Donut Chart,30,29
72,Donut Chart,10,25
73,Donut Chart,90,97
74,Donut Chart,40,46
75,Donut Chart,90,96
76,Stack Chart,60,73
77,Donut Chart,40,45
78,Stack Chart,40,39
79,Donut Chart,80,82
80,Tree Map,80,82
