trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,78,94
2,Stack Chart,80,95
3,Donut Chart,88,98
4,Donut Chart,78,87
5,Stack Chart,57,58
6,Stack Chart,68,75
7,Stack Chart,67,60
8,Bubble Chart,97,91
9,Stack Chart,78,75
10,Donut Chart,78,79
11,Stack Chart,57,51
12,Donut Chart,87,98
13,Donut Chart,68,98
14,Bubble Chart,89,84
15,Bubble Chart,79,95
16,Donut Chart,98,95
17,Bubble Chart,39,35
18,Tree Map,89,100
19,Tree Map,69,79
20,Stack Chart,79,97
21,Stack Chart,59,30
22,Tree Map,88,82
23,Stack Chart,67,63
24,Tree Map,80,72
25,Tree Map,67,46
26,Tree Map,90,93
27,Tree Map,80,63
28,Tree Map,40,22
29,Bubble Chart,50,45
30,Donut Chart,40,20
31,Tree Map,70,64
32,Bubble Chart,80,87
33,Bubble Chart,99,94
34,Stack Chart,9,8
35,Donut Chart,90,83
36,Stack Chart,80,76
37,Donut Chart,78,54
38,Bubble Chart,98,94
39,Tree Map,77,68
40,Donut Chart,78,80
41,Stack Chart,56,68
42,Tree Map,34,35
43,Tree Map,60,67
44,Stack Chart,88,98
45,Donut Chart,66,63
46,Bubble Chart,55,54
47,Tree Map,77,75
48,Tree Map,55,60
49,Stack Chart,43,42
50,Bubble Chart,45,51
51,Tree Map,98,89
52,Bubble Chart,45,51
53,Stack Chart,88,91
54,Bubble Chart,78,53
55,Donut Chart,80,78
56,Donut Chart,78,71
57,Bubble Chart,89,82
58,Tree Map,87,83
59,Bubble Chart,87,63
60,Donut Chart,66,63
61,Donut Chart,55,51
62,Tree Map,22,19
63,Stack Chart,23,28
64,Bubble Chart,66,56
65,Tree Map,45,58
66,Stack Chart,66,86
67,Stack Chart,44,62
68,Bubble Chart,96,95
69,Bubble Chart,89,84
70,Tree Map,80,85
71,Donut Chart,68,66
72,Stack Chart,67,59
73,Donut Chart,23,18
74,Donut Chart,88,83
75,Bubble Chart,77,62
76,Tree Map,99,95
77,Bubble Chart,76,69
78,Donut Chart,80,88
79,Bubble Chart,88,94
80,Stack Chart,78,89
