trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,50,45
2,Stack Chart,25,27
3,Stack Chart,100,91
4,Stack Chart,25,33
5,Stack Chart,20,31
6,Stack Chart,100,82
7,Bubble Chart,70,80
8,Tree Map,100,91
9,Donut Chart,50,70
10,Donut Chart,50,73
11,Donut Chart,35,50
12,Tree Map,50,61
13,Tree Map,100,79
14,Bubble Chart,100,97
15,Tree Map,20,27
16,Donut Chart,50,73
17,Stack Chart,50,70
18,Stack Chart,50,60
19,Tree Map,100,96
20,Tree Map,75,51
21,Stack Chart,20,27
22,Tree Map,100,85
23,Stack Chart,50,61
24,Bubble Chart,80,82
25,Bubble Chart,70,77
26,Donut Chart,100,93
27,Stack Chart,70,86
28,Stack Chart,90,90
29,Bubble Chart,40,42
30,Stack Chart,100,91
31,Tree Map,50,58
32,Bubble Chart,50,86
33,Bubble Chart,60,75
34,Donut Chart,60,73
35,Bubble Chart,100,87
36,Bubble Chart,80,79
37,Donut Chart,50,75
38,Donut Chart,100,96
39,Stack Chart,80,82
40,Bubble Chart,50,58
41,Stack Chart,100,89
42,Bubble Chart,80,96
43,Stack Chart,100,95
44,Donut Chart,50,75
45,Donut Chart,50,71
46,Donut Chart,35,45
47,Donut Chart,20,28
48,Bubble Chart,50,50
49,Stack Chart,50,49
50,Donut Chart,100,86
51,Stack Chart,20,24
52,Donut Chart,50,52
53,Bubble Chart,50,53
54,Donut Chart,50,58
55,Donut Chart,35,35
56,Bubble Chart,50,52
57,Stack Chart,100,95
58,Tree Map,50,67
59,Tree Map,25,42
60,Bubble Chart,100,94
61,Stack Chart,20,25
62,Donut Chart,100,87
63,Tree Map,50,40
64,Bubble Chart,40,36
65,Tree Map,100,100
66,Tree Map,50,58
67,Donut Chart,35,34
68,Tree Map,30,44
69,Tree Map,100,89
70,Bubble Chart,40,43
71,Donut Chart,50,57
72,Tree Map,100,79
73,Tree Map,100,94
74,Donut Chart,100,94
75,Bubble Chart,80,70
76,Tree Map,50,88
77,Bubble Chart,50,61
78,Tree Map,50,73
79,Stack Chart,60,72
80,Bubble Chart,40,51
