trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,40,30
2,Tree Map,60,75
3,Stack Chart,80,93
4,Donut Chart,90,78
5,Donut Chart,70,60
6,Tree Map,100,98
7,Tree Map,80,68
8,Donut Chart,60,61
9,Donut Chart,100,83
10,Donut Chart,40,50
11,Donut Chart,100,94
12,Donut Chart,90,80
13,Tree Map,30,30
14,Donut Chart,80,82
15,Stack Chart,60,71
16,Donut Chart,80,86
17,Tree Map,90,88
18,Stack Chart,60,64
19,Stack Chart,80,95
20,Tree Map,100,99
21,Donut Chart,30,26
22,Tree Map,90,87
23,Stack Chart,90,93
24,Donut Chart,30,51
25,Donut Chart,80,81
26,Donut Chart,79,49
27,Donut Chart,40,37
28,Stack Chart,80,73
29,Tree Map,100,98
30,Donut Chart,40,42
31,Donut Chart,30,37
32,Donut Chart,80,71
33,Bubble Chart,80,74
34,Tree Map,60,61
35,Bubble Chart,70,64
36,Stack Chart,100,96
37,Stack Chart,90,98
38,Tree Map,100,98
39,Stack Chart,60,64
40,Tree Map,40,68
41,Stack Chart,35,62
42,Tree Map,40,54
43,Stack Chart,33,68
44,Tree Map,90,82
45,Tree Map,100,88
46,Bubble Chart,80,71
47,Stack Chart,33,45
48,Stack Chart,70,73
49,Tree Map,100,93
50,Tree Map,33,45
51,Bubble Chart,100,92
52,Bubble Chart,100,94
53,Tree Map,100,81
54,Tree Map,80,46
55,Bubble Chart,100,92
56,Bubble Chart,75,70
57,Tree Map,100,95
58,Stack Chart,80,84
59,Stack Chart,70,87
60,Stack Chart,60,82
61,Stack Chart,30,39
62,Donut Chart,40,54
63,Bubble Chart,60,60
64,Bubble Chart,70,53
65,Bubble Chart,90,91
66,Bubble Chart,100,91
67,Donut Chart,90,77
68,Stack Chart,30,36
69,Stack Chart,30,40
70,Donut Chart,30,32
71,Bubble Chart,90,88
72,Bubble Chart,100,95
73,Bubble Chart,90,75
74,Stack Chart,90,88
75,Bubble Chart,90,76
76,Bubble Chart,60,63
77,Bubble Chart,70,63
78,Bubble Chart,80,81
79,Bubble Chart,80,74
80,Bubble Chart,45,44
