trialNum,Vis Type,Reported Percent,True Percent
1,Stack Chart,60,72
2,Tree Map,60,69
3,Tree Map,50,43
4,Tree Map,60,72
5,Tree Map,80,77
6,Stack Chart,60,50
7,Donut Chart,90,75
8,Bubble Chart,60,64
9,Tree Map,80,74
10,Donut Chart,90,89
11,Bubble Chart,60,36
12,Stack Chart,60,67
13,Bubble Chart,60,50
14,Stack Chart,50,63
15,Bubble Chart,50,31
16,Bubble Chart,80,81
17,Tree Map,70,54
18,Bubble Chart,90,78
19,Stack Chart,50,43
20,Bubble Chart,60,46
21,Stack Chart,70,60
22,Tree Map,100,92
23,Bubble Chart,60,56
24,Donut Chart,80,71
25,Donut Chart,100,91
26,Bubble Chart,100,94
27,Stack Chart,60,64
28,Stack Chart,40,38
29,Donut Chart,50,38
30,Stack Chart,50,40
31,Donut Chart,80,94
32,Bubble Chart,80,68
33,Bubble Chart,70,67
34,Tree Map,60,54
35,Stack Chart,40,33
36,Stack Chart,60,62
37,Tree Map,40,41
38,Stack Chart,70,66
39,Bubble Chart,90,92
40,Bubble Chart,100,95
41,Donut Chart,80,68
42,Tree Map,70,61
43,Stack Chart,60,72
44,Donut Chart,80,92
45,Tree Map,80,68
46,Tree Map,90,88
47,Bubble Chart,80,50
48,Tree Map,90,87
49,Bubble Chart,80,75
50,Bubble Chart,100,96
51,Stack Chart,80,80
52,Bubble Chart,60,47
53,Tree Map,100,92
54,Bubble Chart,90,97
55,Tree Map,100,95
56,Stack Chart,40,35
57,Stack Chart,100,97
58,Donut Chart,100,86
59,Bubble Chart,100,95
60,Bubble Chart,80,47
61,Stack Chart,90,99
62,Tree Map,90,84
63,Donut Chart,70,43
64,Tree Map,60,39
65,Donut Chart,80,60
66,Donut Chart,100,86
67,Donut Chart,80,72
68,Stack Chart,80,69
69,Donut Chart,100,94
70,Tree Map,80,74
71,Tree Map,100,100
72,Donut Chart,50,37
73,Donut Chart,80,71
74,Donut Chart,50,41
75,Stack Chart,80,76
76,Donut Chart,90,98
77,Stack Chart,60,49
78,Donut Chart,60,46
79,Donut Chart,60,54
80,Tree Map,60,57
