trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,78,72
2,Stack Chart,32,32
3,Donut Chart,47,42
4,Bubble Chart,56,62
5,Stack Chart,78,71
6,Stack Chart,76,57
7,Bubble Chart,12,13
8,Donut Chart,44,55
9,Stack Chart,35,40
10,Bubble Chart,67,56
11,Stack Chart,77,82
12,Stack Chart,67,57
13,Stack Chart,90,86
14,Bubble Chart,56,59
15,Bubble Chart,67,78
16,Stack Chart,86,85
17,Stack Chart,44,49
18,Tree Map,89,91
19,Donut Chart,67,75
20,Tree Map,86,70
21,Tree Map,43,32
22,Tree Map,76,86
23,Donut Chart,88,99
24,Donut Chart,75,63
25,Stack Chart,78,83
26,Tree Map,56,86
27,Bubble Chart,67,82
28,Bubble Chart,87,97
29,Tree Map,89,78
30,Bubble Chart,78,67
31,Donut Chart,67,77
32,Tree Map,78,82
33,Tree Map,56,54
34,Bubble Chart,67,53
35,Tree Map,34,25
36,Donut Chart,45,59
37,Tree Map,56,68
38,Bubble Chart,67,48
39,Donut Chart,76,82
40,Tree Map,65,56
41,Bubble Chart,97,96
42,Stack Chart,56,64
43,Stack Chart,76,83
44,Stack Chart,78,83
45,Bubble Chart,87,97
46,Donut Chart,67,69
47,Donut Chart,45,32
48,Bubble Chart,65,62
49,Bubble Chart,78,88
50,Bubble Chart,87,97
51,Donut Chart,76,81
52,Tree Map,97,95
53,Stack Chart,67,78
54,Donut Chart,76,85
55,Tree Map,88,100
56,Donut Chart,78,100
57,Tree Map,78,89
58,Donut Chart,33,36
59,Stack Chart,67,75
60,Tree Map,56,44
61,Donut Chart,78,86
62,Tree Map,76,63
63,Tree Map,56,48
64,Stack Chart,98,97
65,Donut Chart,67,78
66,Bubble Chart,98,95
67,Stack Chart,65,59
68,Stack Chart,76,86
69,Bubble Chart,98,93
70,Donut Chart,78,88
71,Donut Chart,67,71
72,Tree Map,87,80
73,Bubble Chart,67,64
74,Stack Chart,87,87
75,Stack Chart,86,82
76,Bubble Chart,54,49
77,Donut Chart,23,17
78,Bubble Chart,56,65
79,Tree Map,66,74
80,Tree Map,80,74
