trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,20,35
2,Donut Chart,40,48
3,Tree Map,90,97
4,Tree Map,20,22
5,Donut Chart,100,90
6,Tree Map,50,50
7,Bubble Chart,60,56
8,Donut Chart,90,95
9,Bubble Chart,40,52
10,Tree Map,50,54
11,Tree Map,50,59
12,Bubble Chart,40,35
13,Donut Chart,90,82
14,Stack Chart,60,70
15,Bubble Chart,90,84
16,Donut Chart,95,89
17,Donut Chart,70,60
18,Tree Map,80,70
19,Stack Chart,90,72
20,Stack Chart,40,47
21,Bubble Chart,99,88
22,Tree Map,80,78
23,Tree Map,90,89
24,Tree Map,20,25
25,Donut Chart,95,88
26,Bubble Chart,30,30
27,Bubble Chart,100,93
28,Bubble Chart,30,45
29,Bubble Chart,70,67
30,Donut Chart,90,76
31,Donut Chart,30,37
32,Stack Chart,20,28
33,Stack Chart,60,80
34,Tree Map,90,89
35,Stack Chart,20,37
36,Donut Chart,100,90
37,Stack Chart,90,90
38,Tree Map,90,78
39,Bubble Chart,20,25
40,Stack Chart,90,95
41,Donut Chart,90,88
42,Tree Map,60,63
43,Donut Chart,90,88
44,Donut Chart,85,73
45,Stack Chart,90,87
46,Stack Chart,20,40
47,Bubble Chart,50,41
48,Bubble Chart,90,76
49,Donut Chart,85,75
50,Stack Chart,100,96
51,Stack Chart,30,30
52,Donut Chart,50,48
53,Bubble Chart,40,42
54,Stack Chart,40,46
55,Tree Map,40,47
56,Bubble Chart,50,50
57,Stack Chart,50,62
58,Stack Chart,60,72
59,Stack Chart,40,48
60,Tree Map,90,80
61,Stack Chart,80,76
62,Stack Chart,90,97
63,Donut Chart,100,90
64,Donut Chart,40,41
65,Donut Chart,100,98
66,Stack Chart,100,88
67,Donut Chart,100,77
68,Bubble Chart,40,37
69,Tree Map,30,35
70,Bubble Chart,90,81
71,Bubble Chart,90,82
72,Bubble Chart,50,67
73,Tree Map,40,46
74,Tree Map,30,47
75,Bubble Chart,50,61
76,Tree Map,89,83
77,Donut Chart,100,76
78,Bubble Chart,100,97
79,Tree Map,100,86
80,Stack Chart,5,4
