trialNum,Vis Type,Reported Percent,True Percent
1,Bubble Chart,48,38
2,Tree Map,50,88
3,Stack Chart,27,34
4,Tree Map,78,77
5,Bubble Chart,50,50
6,Stack Chart,35,46
7,Donut Chart,50,72
8,Bubble Chart,50,71
9,Bubble Chart,20,22
10,Stack Chart,91,89
11,Donut Chart,89,92
12,Bubble Chart,18,22
13,Donut Chart,35,39
14,Stack Chart,88,80
15,Stack Chart,60,54
16,Donut Chart,90,80
17,Tree Map,50,54
18,Stack Chart,69,72
19,Tree Map,60,62
20,Bubble Chart,47,51
21,Bubble Chart,95,92
22,Stack Chart,20,56
23,Bubble Chart,70,64
24,Tree Map,85,75
25,Donut Chart,85,83
26,Donut Chart,50,65
27,Stack Chart,36,53
28,Donut Chart,37,45
29,Donut Chart,85,80
30,Donut Chart,30,42
31,Tree Map,45,61
32,Bubble Chart,40,43
33,Bubble Chart,29,55
34,Stack Chart,87,89
35,Donut Chart,60,67
36,Bubble Chart,51,60
37,Stack Chart,71,78
38,Donut Chart,50,70
39,Bubble Chart,91,90
40,Donut Chart,85,70
41,Donut Chart,89,79
42,Tree Map,100,80
43,Tree Map,85,80
44,Stack Chart,91,79
45,Donut Chart,80,73
46,Donut Chart,80,71
47,Tree Map,36,48
48,Bubble Chart,50,74
49,Stack Chart,80,85
50,Tree Map,36,58
51,Tree Map,67,65
52,Tree Map,50,68
53,Stack Chart,50,74
54,Donut Chart,60,48
55,Stack Chart,80,80
56,Tree Map,50,59
57,Donut Chart,60,49
58,Tree Map,70,76
59,Bubble Chart,45,57
60,Bubble Chart,34,48
61,Tree Map,100,98
62,Bubble Chart,100,93
63,Tree Map,90,81
64,Tree Map,100,84
65,Donut Chart,90,80
66,Bubble Chart,35,43
67,Tree Map,100,81
68,Donut Chart,51,59
69,Tree Map,61,71
70,Tree Map,65,77
71,Stack Chart,37,35
72,Stack Chart,50,58
73,Stack Chart,47,77
74,Stack Chart,56,80
75,Stack Chart,20,34
76,Bubble Chart,57,69
77,Bubble Chart,56,72
78,Bubble Chart,48,50
79,Stack Chart,25,43
80,Donut Chart,47,60
