trialNum,Vis Type,Reported Percent,True Percent
1,Stack Chart,50,54
2,Stack Chart,60,72
3,Donut Chart,100,97
4,Donut Chart,50,48
5,Donut Chart,80,72
6,Stack Chart,40,62
7,Tree Map,50,62
8,Stack Chart,80,92
9,Tree Map,1,90
10,Bubble Chart,80,65
11,Stack Chart,33,44
12,Tree Map,20,37
13,Stack Chart,70,93
14,Tree Map,60,75
15,Tree Map,100,93
16,Bubble Chart,75,55
17,Tree Map,25,39
18,Stack Chart,100,100
19,Tree Map,60,65
20,Stack Chart,90,88
21,Tree Map,65,60
22,Stack Chart,85,86
23,Bubble Chart,40,45
24,Stack Chart,90,81
25,Donut Chart,75,72
26,Donut Chart,80,100
27,Bubble Chart,20,18
28,Tree Map,38,51
29,Donut Chart,100,83
30,Donut Chart,90,77
31,Bubble Chart,95,98
32,Donut Chart,98,93
33,Donut Chart,30,37
34,Tree Map,100,92
35,Tree Map,20,32
36,Tree Map,100,82
37,Stack Chart,80,77
38,Bubble Chart,60,42
39,Bubble Chart,60,58
40,Tree Map,35,32
41,Bubble Chart,45,57
42,Tree Map,55,57
43,Stack Chart,85,82
44,Donut Chart,95,86
45,Bubble Chart,35,34
46,Stack Chart,89,93
47,Stack Chart,55,70
48,Bubble Chart,95,81
49,Bubble Chart,99,86
50,Stack Chart,99,100
51,Tree Map,99,89
52,Bubble Chart,90,88
53,Donut Chart,90,100
54,Bubble Chart,99,100
55,Tree Map,99,88
56,Stack Chart,85,74
57,Donut Chart,99,37
58,Bubble Chart,99,96
59,Donut Chart,75,66
60,Stack Chart,75,85
61,Bubble Chart,69,67
62,Tree Map,89,80
63,Stack Chart,88,92
64,Donut Chart,94,84
65,Stack Chart,55,53
66,Stack Chart,45,50
67,Donut Chart,29,15
68,Bubble Chart,15,15
69,Bubble Chart,99,85
70,Donut Chart,76,56
71,Tree Map,100,90
72,Donut Chart,77,76
73,Donut Chart,85,75
74,Donut Chart,100,97
75,Bubble Chart,100,95
76,Bubble Chart,95,80
77,Tree Map,92,82
78,Bubble Chart,94,76
79,Tree Map,38,45
80,Donut Chart,99,81
