trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,80,82
2,Donut Chart,89,85
3,Stack Chart,66,58
4,Stack Chart,34,32
5,Bubble Chart,68,75
6,Stack Chart,45,55
7,Donut Chart,78,75
8,Tree Map,45,40
9,Donut Chart,87,93
10,Bubble Chart,24,35
11,Stack Chart,67,78
12,Bubble Chart,54,65
13,Stack Chart,97,92
14,Tree Map,89,96
15,Stack Chart,22,14
16,Tree Map,67,68
17,Donut Chart,91,85
18,Bubble Chart,45,56
19,Donut Chart,86,72
20,Donut Chart,77,71
21,Bubble Chart,63,67
22,Tree Map,86,97
23,Stack Chart,56,53
24,Donut Chart,76,81
25,Stack Chart,54,50
26,Stack Chart,88,93
27,Tree Map,87,92
28,Tree Map,78,76
29,Bubble Chart,55,41
30,Stack Chart,66,56
31,Tree Map,98,98
32,Donut Chart,67,68
33,Bubble Chart,56,61
34,Stack Chart,89,88
35,Tree Map,98,96
36,Bubble Chart,68,52
37,Tree Map,84,77
38,Bubble Chart,56,52
39,Bubble Chart,20,14
40,Stack Chart,79,81
41,Bubble Chart,65,61
42,Stack Chart,90,97
43,Stack Chart,80,81
44,Bubble Chart,45,45
45,Bubble Chart,65,55
46,Bubble Chart,34,31
47,Donut Chart,78,72
48,Stack Chart,90,96
49,Stack Chart,89,90
50,Donut Chart,94,92
51,Donut Chart,69,67
52,Tree Map,48,45
53,Tree Map,49,45
54,Tree Map,79,80
55,Bubble Chart,89,96
56,Bubble Chart,23,19
57,Tree Map,89,96
58,Bubble Chart,89,95
59,Bubble Chart,78,79
60,Donut Chart,56,67
61,Tree Map,59,61
62,Bubble Chart,89,84
63,Tree Map,87,80
64,Donut Chart,55,63
65,Bubble Chart,90,91
66,Donut Chart,98,92
67,Tree Map,89,92
68,Tree Map,90,84
69,Tree Map,85,76
70,Stack Chart,56,65
71,Tree Map,89,97
72,Tree Map,78,85
73,Donut Chart,89,88
74,Donut Chart,85,84
75,Stack Chart,55,48
76,Donut Chart,89,85
77,Donut Chart,90,94
78,Stack Chart,88,80
79,Stack Chart,45,43
80,Donut Chart,8,10
