trialNum,Vis Type,Reported Percent,True Percent
1,Stack Chart,35,48
2,Stack Chart,40,33
3,Donut Chart,85,93
4,Stack Chart,40,50
5,Donut Chart,75,81
6,Donut Chart,35,49
7,Stack Chart,80,98
8,Stack Chart,55,56
9,Bubble Chart,85,90
10,Donut Chart,90,74
11,Donut Chart,78,77
12,Bubble Chart,88,95
13,Donut Chart,25,42
14,Tree Map,65,68
15,Bubble Chart,70,71
16,Bubble Chart,65,55
17,Bubble Chart,67,83
18,Stack Chart,72,83
19,Tree Map,55,89
20,Donut Chart,55,52
21,Stack Chart,35,37
22,Bubble Chart,75,89
23,Donut Chart,88,77
24,Stack Chart,86,87
25,Tree Map,25,26
26,Bubble Chart,54,62
27,Tree Map,60,57
28,Tree Map,30,61
29,Bubble Chart,85,90
30,Bubble Chart,90,91
31,Stack Chart,45,43
32,Bubble Chart,40,88
33,Stack Chart,60,58
34,Bubble Chart,75,78
35,Donut Chart,56,50
36,Tree Map,50,60
37,Tree Map,95,86
38,Stack Chart,50,62
39,Tree Map,40,40
40,Stack Chart,60,79
41,Tree Map,95,96
42,Donut Chart,85,96
43,Tree Map,75,82
44,Bubble Chart,70,70
45,Stack Chart,60,57
46,Tree Map,65,84
47,Tree Map,85,92
48,Stack Chart,35,48
49,Stack Chart,50,53
50,Bubble Chart,45,50
51,Bubble Chart,20,19
52,Stack Chart,86,79
53,Tree Map,80,78
54,Bubble Chart,90,94
55,Bubble Chart,85,88
56,Bubble Chart,88,89
57,Bubble Chart,92,85
58,Tree Map,90,85
59,Stack Chart,90,92
60,Donut Chart,65,58
61,Bubble Chart,40,42
62,Tree Map,85,92
63,Donut Chart,35,43
64,Donut Chart,80,91
65,Donut Chart,90,91
66,Donut Chart,70,68
67,Tree Map,65,80
68,Bubble Chart,90,98
69,Stack Chart,75,79
70,Stack Chart,79,78
71,Tree Map,50,63
72,Donut Chart,70,73
73,Donut Chart,90,86
74,Tree Map,80,81
75,Donut Chart,85,85
76,Tree Map,85,84
77,Donut Chart,75,66
78,Donut Chart,65,58
79,Tree Map,70,78
80,Stack Chart,75,75
