trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,88,94
2,Tree Map,89,95
3,Stack Chart,64,62
4,Bubble Chart,78,89
5,Bubble Chart,65,60
6,Stack Chart,87,92
7,Bubble Chart,22,10
8,Donut Chart,65,62
9,Stack Chart,67,69
10,Bubble Chart,56,62
11,Bubble Chart,87,84
12,Donut Chart,87,86
13,Tree Map,56,51
14,Tree Map,89,95
15,Tree Map,78,89
16,Tree Map,33,34
17,Donut Chart,24,28
18,Stack Chart,96,81
19,Tree Map,56,56
20,Bubble Chart,67,78
21,Donut Chart,87,97
22,Stack Chart,78,70
23,Stack Chart,56,69
24,Bubble Chart,89,96
25,Tree Map,87,83
26,Stack Chart,89,94
27,Donut Chart,95,92
28,Tree Map,78,84
29,Donut Chart,67,62
30,Stack Chart,56,61
31,Bubble Chart,67,74
32,Tree Map,45,51
33,Donut Chart,61,53
34,Donut Chart,75,78
35,Stack Chart,67,73
36,Stack Chart,45,50
37,Bubble Chart,34,38
38,Donut Chart,56,44
39,Donut Chart,87,85
40,Bubble Chart,86,86
41,Bubble Chart,67,52
42,Donut Chart,45,53
43,Stack Chart,56,69
44,Bubble Chart,33,36
45,Tree Map,56,54
46,Tree Map,67,70
47,Bubble Chart,67,63
48,Bubble Chart,67,61
49,Tree Map,67,76
50,Donut Chart,67,53
51,Stack Chart,23,13
52,Tree Map,78,76
53,Stack Chart,56,68
54,Bubble Chart,67,65
55,Tree Map,89,91
56,Stack Chart,76,71
57,Bubble Chart,89,91
58,Stack Chart,67,62
59,Donut Chart,65,58
60,Tree Map,78,74
61,Bubble Chart,67,70
62,Donut Chart,99,92
63,Bubble Chart,77,66
64,Donut Chart,33,38
65,Bubble Chart,56,65
66,Tree Map,89,100
67,Stack Chart,34,21
68,Stack Chart,78,86
69,Donut Chart,76,72
70,Donut Chart,89,92
71,Tree Map,89,90
72,Stack Chart,89,88
73,Bubble Chart,68,72
74,Tree Map,90,96
75,Donut Chart,45,34
76,Tree Map,34,31
77,Donut Chart,78,75
78,Stack Chart,89,92
79,Donut Chart,78,83
80,Stack Chart,4,9
