trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,47,39
2,Stack Chart,20,37
3,Stack Chart,85,95
4,Donut Chart,97,81
5,Bubble Chart,50,61
6,Bubble Chart,50,64
7,Stack Chart,20,40
8,Donut Chart,50,64
9,Donut Chart,51,65
10,Bubble Chart,95,98
11,Bubble Chart,60,52
12,Donut Chart,48,40
13,Donut Chart,20,22
14,Bubble Chart,100,88
15,Stack Chart,50,65
16,Stack Chart,80,96
17,Stack Chart,90,94
18,Tree Map,100,96
19,Stack Chart,89,71
20,Donut Chart,58,58
21,Tree Map,30,36
22,Tree Map,100,93
23,Bubble Chart,45,84
24,Tree Map,100,91
25,Bubble Chart,86,79
26,Stack Chart,87,85
27,Tree Map,45,59
28,Stack Chart,50,71
29,Tree Map,100,97
30,Donut Chart,97,82
31,Tree Map,100,97
32,Donut Chart,50,60
33,Tree Map,27,47
34,Stack Chart,100,96
35,Tree Map,19,25
36,Donut Chart,50,69
37,Donut Chart,80,82
38,Donut Chart,80,89
39,Donut Chart,100,88
40,Tree Map,57,57
41,Bubble Chart,40,50
42,Tree Map,49,66
43,Tree Map,46,34
44,Tree Map,100,83
45,Stack Chart,95,93
46,Stack Chart,35,50
47,Tree Map,100,98
48,Tree Map,45,50
49,Tree Map,100,75
50,Bubble Chart,60,75
51,Bubble Chart,50,60
52,Bubble Chart,100,88
53,Tree Map,100,94
54,Bubble Chart,100,87
55,Bubble Chart,30,50
56,Stack Chart,95,91
57,Donut Chart,100,95
58,Stack Chart,32,54
59,Bubble Chart,80,77
60,Donut Chart,45,48
61,Donut Chart,85,73
62,Donut Chart,70,71
63,Tree Map,45,41
64,Tree Map,55,76
65,Donut Chart,100,96
66,Donut Chart,50,52
67,Bubble Chart,68,48
68,Tree Map,100,89
69,Stack Chart,100,98
70,Stack Chart,9,9
71,Bubble Chart,65,55
72,Bubble Chart,100,93
73,Stack Chart,68,76
74,Bubble Chart,50,70
75,Stack Chart,85,82
76,Stack Chart,36,42
77,Stack Chart,55,55
78,Bubble Chart,50,72
79,Donut Chart,85,78
80,Bubble Chart,30,35
