trialNum,Vis Type,Reported Percent,True Percent
1,Bubble Chart,50,37
2,Tree Map,40,57
3,Tree Map,60,68
4,Tree Map,90,87
5,Stack Chart,90,79
6,Donut Chart,80,62
7,Stack Chart,90,81
8,Stack Chart,100,86
9,Donut Chart,100,90
10,Donut Chart,90,91
11,Donut Chart,80,53
12,Stack Chart,90,88
13,Tree Map,40,53
14,Donut Chart,70,51
15,Bubble Chart,90,84
16,Stack Chart,70,53
17,Donut Chart,90,83
18,Bubble Chart,100,100
19,Donut Chart,90,79
20,Donut Chart,70,73
21,Donut Chart,90,100
22,Donut Chart,90,87
23,Donut Chart,90,75
24,Bubble Chart,90,51
25,Donut Chart,70,65
26,Tree Map,90,78
27,Donut Chart,90,80
28,Stack Chart,80,70
29,Stack Chart,25,32
30,Bubble Chart,100,95
31,Donut Chart,10,18
32,Bubble Chart,100,85
33,Tree Map,10,25
34,Stack Chart,80,65
35,Donut Chart,80,73
36,Stack Chart,30,39
37,Bubble Chart,90,80
38,Tree Map,20,31
39,Tree Map,70,69
40,Bubble Chart,60,43
41,Stack Chart,100,94
42,Donut Chart,40,45
43,Tree Map,90,70
44,Stack Chart,100,91
45,Stack Chart,60,56
46,Bubble Chart,100,97
47,Stack Chart,100,97
48,Tree Map,100,96
49,Stack Chart,80,61
50,Donut Chart,30,33
51,Bubble Chart,100,93
52,Tree Map,100,94
53,Stack Chart,80,67
54,Tree Map,100,97
55,Tree Map,50,76
56,Bubble Chart,70,62
57,Tree Map,90,75
58,Stack Chart,90,90
59,Stack Chart,80,65
60,Tree Map,50,59
61,Donut Chart,100,97
62,Bubble Chart,80,71
63,Tree Map,50,50
64,Stack Chart,40,44
65,Bubble Chart,90,85
66,Bubble Chart,100,89
67,Donut Chart,100,85
68,Bubble Chart,80,63
69,Tree Map,20,25
70,Tree Map,50,59
71,Bubble Chart,80,59
72,Tree Map,30,62
73,Donut Chart,80,63
74,Bubble Chart,90,77
75,Stack Chart,100,95
76,Bubble Chart,30,37
77,Bubble Chart,90,85
78,Bubble Chart,90,70
79,Stack Chart,40,44
80,Tree Map,30,48
