trialNum,Vis Type,Reported Percent,True Percent
1,Bubble Chart,60,66
2,Stack Chart,80,93
3,Bubble Chart,70,67
4,Stack Chart,60,77
5,Donut Chart,30,26
6,Donut Chart,50,92
7,Tree Map,50,41
8,Tree Map,50,55
9,Stack Chart,100,97
10,Bubble Chart,20,37
11,Stack Chart,90,87
12,Tree Map,90,93
13,Bubble Chart,100,84
14,Donut Chart,100,94
15,Stack Chart,70,80
16,Tree Map,100,88
17,Donut Chart,70,56
18,Bubble Chart,70,55
19,Donut Chart,100,82
20,Tree Map,100,96
21,Tree Map,40,44
22,Tree Map,80,78
23,Bubble Chart,100,97
24,Stack Chart,90,86
25,Donut Chart,80,54
26,Tree Map,70,53
27,Stack Chart,10,12
28,Stack Chart,70,82
29,Donut Chart,40,41
30,Donut Chart,40,54
31,Donut Chart,70,70
32,Tree Map,40,42
33,Tree Map,100,95
34,Tree Map,60,59
35,Donut Chart,70,70
36,Stack Chart,80,79
37,Bubble Chart,80,85
38,Tree Map,70,63
39,Bubble Chart,30,70
40,Stack Chart,80,83
41,Stack Chart,60,59
42,Donut Chart,90,96
43,Donut Chart,80,68
44,Bubble Chart,30,41
45,Stack Chart,70,71
46,Bubble Chart,99,98
47,Bubble Chart,80,75
48,Donut Chart,80,84
49,Donut Chart,70,61
50,Stack Chart,70,82
51,Stack Chart,90,92
52,Stack Chart,20,36
53,Stack Chart,40,57
54,Donut Chart,40,44
55,Donut Chart,40,58
56,Donut Chart,30,47
57,Tree Map,30,56
58,Tree Map,100,98
59,Bubble Chart,70,68
60,Stack Chart,100,96
61,Donut Chart,30,62
62,Stack Chart,40,64
63,Tree Map,90,96
64,Stack Chart,80,82
65,Stack Chart,90,82
66,Bubble Chart,90,93
67,Donut Chart,80,98
68,Bubble Chart,70,62
69,Bubble Chart,100,96
70,Tree Map,10,20
71,Bubble Chart,70,78
72,Bubble Chart,100,98
73,Bubble Chart,40,45
74,Tree Map,90,80
75,Bubble Chart,70,53
76,Bubble Chart,100,91
77,Tree Map,90,77
78,Tree Map,100,91
79,Tree Map,90,85
80,Donut Chart,80,77
