trialNum,Vis Type,Reported Percent,True Percent
1,Tree Map,80,65
2,Stack Chart,90,100
3,Tree Map,60,46
4,Donut Chart,70,77
5,Donut Chart,50,38
6,Tree Map,40,30
7,Tree Map,30,16
8,Tree Map,80,86
9,Donut Chart,40,36
10,Tree Map,50,48
11,Stack Chart,50,60
12,Tree Map,100,97
13,Tree Map,90,79
14,Tree Map,80,58
15,Stack Chart,100,95
16,Tree Map,80,68
17,Tree Map,60,35
18,Stack Chart,50,51
19,Donut Chart,90,90
20,Stack Chart,80,59
21,Bubble Chart,80,64
22,Bubble Chart,80,64
23,Bubble Chart,90,79
24,Donut Chart,90,74
25,Tree Map,60,36
26,Donut Chart,100,87
27,Stack Chart,90,81
28,Donut Chart,80,63
29,Bubble Chart,90,82
30,Stack Chart,90,95
31,Stack Chart,70,67
32,Bubble Chart,80,63
33,Donut Chart,80,87
34,Tree Map,90,89
35,Bubble Chart,100,85
36,Bubble Chart,80,48
37,Donut Chart,60,47
38,Tree Map,100,95
39,Stack Chart,90,94
40,Donut Chart,70,56
41,Stack Chart,70,68
42,Tree Map,80,73
43,Tree Map,90,81
44,Donut Chart,100,95
45,Tree Map,90,83
46,Donut Chart,60,52
47,Stack Chart,80,94
48,Tree Map,100,95
49,Bubble Chart,90,80
50,Donut Chart,80,58
51,Tree Map,90,81
52,Tree Map,90,85
53,Donut Chart,80,74
54,Bubble Chart,60,36
55,Donut Chart,80,83
56,Donut Chart,90,91
57,Stack Chart,60,53
58,Stack Chart,90,85
59,Stack Chart,100,94
60,Bubble Chart,60,51
61,Donut Chart,80,75
62,Stack Chart,60,51
63,Donut Chart,80,75
64,Donut Chart,50,41
65,Donut Chart,60,51
66,Bubble Chart,90,95
67,Stack Chart,20,18
68,Bubble Chart,70,75
69,Bubble Chart,60,46
70,Bubble Chart,80,72
71,Stack Chart,70,74
72,Bubble Chart,70,54
73,Bubble Chart,90,94
74,Bubble Chart,90,80
75,Bubble Chart,100,93
76,Bubble Chart,60,50
77,Stack Chart,70,49
78,Stack Chart,50,37
79,Bubble Chart,90,90
80,Stack Chart,90,82
