1,treemap,15,15
2,voronoi,12,10
3,bubble,55,75
4,bar,78,75
5,voronoi,24,33
6,bubble,6,10
7,bar,83,80
8,treemap,41,40
9,bubble,81,90
10,treemap,46,33
11,voronoi,15,20
12,bar,7,10
13,treemap,34,33
14,bubble,36,25
15,bar,17,20
16,voronoi,85,75
17,bar,37,40
18,voronoi,83,90
19,treemap,85,85
20,bubble,99,95
21,voronoi,67,90
22,bar,37,45
23,bubble,100,100
24,treemap,35,33
25,treemap,42,28
26,bar,61,55
27,voronoi,79,90
28,bubble,22,25
29,voronoi,60,60
30,bar,43,45
31,treemap,76,66
32,bubble,86,90
33,bar,44,45
34,voronoi,85,85
35,bubble,29,50
36,treemap,8,10
37,voronoi,41,33
38,bar,76,80
39,bubble,8,15
40,treemap,18,12
41,bar,65,70
42,bubble,90,97
43,treemap,59,66
44,voronoi,79,75
45,bubble,100,100
46,voronoi,26,25
47,bar,33,33
48,treemap,59,75
49,treemap,48,45
50,bubble,1,5
51,bar,88,90
52,voronoi,85,80
53,bubble,75,90
54,voronoi,4,10
55,bar,88,90
56,treemap,64,80
57,bubble,38,70
58,voronoi,43,50
59,treemap,37,30
60,bar,71,66
61,voronoi,51,50
62,bar,29,25
63,treemap,96,80
64,bubble,35,50
65,treemap,37,33
66,bar,73,65
67,voronoi,29,25
68,bubble,60,85
69,bar,75,75
70,treemap,72,85
71,voronoi,44,60
72,bubble,70,82
73,bubble,3,5
74,voronoi,58,45
75,bar,32,40
76,treemap,47,45
77,voronoi,63,55
78,bubble,2,5
79,treemap,51,40
80,bar,71,78
