1,voronoi,58,40
2,treemap,72,66
3,bubble,10,10
4,bar,85,85
5,bar,59,55
6,bubble,36,40
7,voronoi,30,30
8,treemap,79,60
9,voronoi,4,5
10,bar,29,35
11,treemap,75,70
12,bubble,83,80
13,voronoi,46,50
14,bubble,1,4
15,treemap,47,53
16,bar,25,26
17,bar,79,82
18,treemap,42,40
19,voronoi,81,75
20,bubble,48,65
21,voronoi,52,45
22,bar,15,20
23,treemap,36,30
24,bubble,24,25
25,treemap,5,5
26,voronoi,82,75
27,bubble,56,70
28,bar,88,90
29,treemap,3,1
30,bar,1,2
31,bubble,27,40
32,voronoi,22,30
33,voronoi,64,50
34,treemap,11,10
35,bubble,80,90
36,bar,13,12
37,bar,71,68
38,treemap,28,25
39,bubble,4,10
40,voronoi,20,15
41,treemap,13,10
42,voronoi,14,15
43,bar,59,55
44,bubble,36,45
45,bubble,52,50
46,bar,42,46
47,voronoi,33,20
48,treemap,78,90
49,bubble,48,40
50,treemap,28,25
51,bar,66,60
52,voronoi,47,40
53,voronoi,75,75
54,treemap,91,80
55,bubble,87,90
56,bar,8,15
57,treemap,5,5
58,bubble,67,95
59,voronoi,56,33
60,bar,55,60
61,treemap,17,10
62,voronoi,22,20
63,bubble,32,40
64,bar,53,53
65,treemap,14,15
66,bar,63,66
67,bubble,60,60
68,voronoi,64,55
69,bubble,4,10
70,treemap,71,60
71,bar,55,52
72,voronoi,8,15
73,bubble,18,20
74,treemap,78,90
75,bar,2,3
76,voronoi,20,15
77,bubble,91,90
78,bar,79,80
79,voronoi,48,60
80,treemap,92,95
