1,treemap,86,90
2,bubble,27,20
3,bar,30,33
4,voronoi,94,95
5,bar,35,40
6,voronoi,68,70
7,bubble,50,60
8,treemap,54,50
9,treemap,45,43
10,bubble,63,75
11,bar,83,82
12,voronoi,4,5
13,bar,13,15
14,treemap,40,28
15,voronoi,60,70
16,bubble,16,15
17,treemap,28,30
18,voronoi,13,15
19,bubble,57,75
20,bar,7,8
21,bar,7,5
22,bubble,46,50
23,voronoi,57,65
24,treemap,91,85
25,treemap,47,60
26,voronoi,40,55
27,bar,88,90
28,bubble,100,95
29,bubble,42,50
30,treemap,70,55
31,voronoi,24,27
32,bar,84,88
33,bar,80,76
34,treemap,98,90
35,voronoi,7,10
36,bubble,38,50
37,treemap,33,28
38,voronoi,51,45
39,bubble,97,100
40,bar,9,15
41,bubble,46,50
42,treemap,95,90
43,voronoi,15,10
44,bar,83,90
45,bar,33,33
46,voronoi,88,85
47,bubble,87,90
48,treemap,22,13
49,bar,94,95
50,voronoi,91,90
51,treemap,43,47
52,bubble,88,90
53,bubble,14,15
54,treemap,76,80
55,voronoi,29,30
56,bar,41,45
57,voronoi,15,20
58,treemap,24,20
59,bubble,75,90
60,bar,23,25
61,bubble,84,90
62,voronoi,70,75
63,bar,69,66
64,treemap,53,47
65,bar,11,20
66,voronoi,98,80
67,bubble,10,5
68,treemap,44,33
69,bar,70,70
70,treemap,63,55
71,voronoi,90,90
72,bubble,93,100
73,bar,25,30
74,bubble,49,50
75,treemap,16,15
76,voronoi,75,65
77,treemap,93,95
78,bubble,19,15
79,bar,28,33
80,voronoi,66,60
