1,bubble,66,80
2,bar,9,10
3,voronoi,97,75
4,treemap,93,80
5,bar,52,60
6,treemap,31,25
7,voronoi,6,5
8,bubble,39,50
9,treemap,86,90
10,bar,85,85
11,bubble,58,75
12,voronoi,53,65
13,voronoi,3,5
14,bar,4,5
15,treemap,92,90
16,bubble,17,10
17,bar,31,33
18,treemap,30,20
19,bubble,24,30
20,voronoi,42,40
21,treemap,75,60
22,bar,36,40
23,voronoi,23,15
24,bubble,66,85
25,voronoi,31,25
26,treemap,82,85
27,bar,96,95
28,bubble,35,50
29,treemap,7,10
30,voronoi,18,20
31,bar,62,66
32,bubble,90,90
33,treemap,77,66
34,bubble,89,98
35,voronoi,74,75
36,bar,12,10
37,bar,66,66
38,bubble,11,15
39,treemap,5,10
40,voronoi,89,85
41,bubble,92,100
42,voronoi,34,20
43,bar,66,60
44,treemap,27,20
45,voronoi,85,90
46,bubble,92,95
47,treemap,65,66
48,bar,54,55
49,voronoi,46,70
50,treemap,89,75
51,bubble,83,85
52,bar,10,15
53,bubble,8,10
54,bar,56,60
55,voronoi,45,33
56,treemap,52,55
57,bubble,17,20
58,voronoi,37,40
59,bar,57,55
60,treemap,61,60
61,treemap,59,55
62,bar,65,66
63,bubble,34,50
64,voronoi,20,20
65,bar,50,50
66,treemap,80,75
67,bubble,27,50
68,voronoi,48,40
69,voronoi,79,95
70,bubble,13,10
71,treemap,8,5
72,bar,65,60
73,bubble,98,100
74,treemap,85,85
75,voronoi,92,90
76,bar,55,55
77,treemap,43,45
78,voronoi,20,15
79,bar,18,20
80,bubble,35,60
