1,voronoi,49,50
2,treemap,7,10
3,bubble,85,90
4,bar,24,25
5,bubble,98,95
6,bar,4,10
7,treemap,75,66
8,voronoi,22,25
9,bubble,55,70
10,voronoi,34,33
11,treemap,88,90
12,bar,57,60
13,voronoi,96,90
14,treemap,92,95
15,bubble,73,85
16,bar,38,40
17,treemap,40,25
18,bar,26,35
19,bubble,85,95
20,voronoi,15,15
21,bubble,66,85
22,treemap,61,50
23,voronoi,61,75
24,bar,82,95
25,treemap,56,50
26,voronoi,68,66
27,bar,11,15
28,bubble,59,75
29,bar,64,66
30,voronoi,89,90
31,treemap,44,40
32,bubble,90,100
33,bar,3,10
34,voronoi,16,15
35,bubble,97,95
36,treemap,47,33
37,bubble,11,10
38,voronoi,33,25
39,bar,61,60
40,treemap,10,10
41,bubble,65,75
42,treemap,26,20
43,voronoi,11,10
44,bar,10,15
45,treemap,77,80
46,bar,9,15
47,voronoi,4,5
48,bubble,81,90
49,treemap,49,50
50,bubble,78,85
51,voronoi,100,90
52,bar,71,75
53,voronoi,83,60
54,bubble,22,25
55,bar,49,50
56,treemap,99,100
57,bar,92,95
58,voronoi,12,20
59,bubble,93,95
60,treemap,56,50
61,treemap,90,75
62,bubble,52,75
63,voronoi,71,66
64,bar,89,90
65,bar,82,90
66,bubble,96,100
67,treemap,45,40
68,voronoi,92,90
69,treemap,77,80
70,bar,26,25
71,bubble,31,50
72,voronoi,39,30
73,bar,54,55
74,voronoi,86,95
75,treemap,25,15
76,bubble,51,75
77,voronoi,86,90
78,treemap,33,33
79,bar,5,10
80,bubble,43,60
