1,bubble,90,85
2,voronoi,70,80
3,treemap,43,45
4,bar,86,85
5,bar,57,60
6,treemap,33,40
7,bubble,79,65
8,voronoi,55,50
9,voronoi,80,80
10,bubble,51,40
11,bar,46,45
12,treemap,86,88
13,bubble,94,95
14,treemap,80,90
15,bar,91,90
16,voronoi,97,85
17,treemap,38,40
18,bubble,34,33
19,voronoi,50,50
20,bar,26,30
21,bar,82,85
22,treemap,92,94
23,bubble,73,75
24,voronoi,88,85
25,bubble,81,90
26,treemap,33,30
27,voronoi,34,30
28,bar,74,75
29,bubble,31,25
30,bar,89,87
31,treemap,51,45
32,voronoi,62,43
33,bubble,29,33
34,treemap,21,20
35,bar,63,55
36,voronoi,82,60
37,voronoi,7,10
38,bubble,70,75
39,bar,75,85
40,treemap,8,5
41,bubble,95,82
42,voronoi,26,30
43,bar,15,15
44,treemap,57,45
45,voronoi,41,45
46,bubble,44,60
47,treemap,9,10
48,bar,9,10
49,voronoi,72,66
50,bubble,4,10
51,bar,60,52
52,treemap,49,45
53,voronoi,70,80
54,treemap,82,70
55,bar,2,4
56,bubble,10,10
57,voronoi,93,80
58,bubble,66,85
59,bar,54,60
60,treemap,51,50
61,voronoi,97,90
62,treemap,92,66
63,bubble,91,95
64,bar,47,47
65,bubble,82,94
66,bar,37,40
67,voronoi,38,33
68,treemap,9,8
69,voronoi,15,10
70,bar,18,23
71,bubble,77,70
72,treemap,63,63
73,treemap,78,60
74,bubble,47,55
75,bar,49,50
76,voronoi,4,5
77,voronoi,54,80
78,treemap,2,3
79,bar,49,48
80,bubble,31,40
