1,voronoi,35,45
2,treemap,88,80
3,bar,36,30
4,bubble,54,70
5,bubble,54,80
6,voronoi,53,40
7,treemap,72,75
8,bar,26,30
9,treemap,87,90
10,bar,86,90
11,bubble,54,65
12,voronoi,6,5
13,voronoi,95,95
14,bar,92,95
15,treemap,49,75
16,bubble,38,50
17,voronoi,88,90
18,bubble,7,15
19,treemap,3,5
20,bar,7,10
21,bubble,79,95
22,treemap,94,95
23,voronoi,68,85
24,bar,60,65
25,bar,63,60
26,voronoi,20,20
27,bubble,11,20
28,treemap,68,95
29,bubble,72,95
30,voronoi,57,75
31,bar,70,65
32,treemap,30,25
33,voronoi,45,60
34,bar,26,30
35,bubble,27,25
36,treemap,58,75
37,treemap,51,55
38,voronoi,55,60
39,bubble,65,80
40,bar,24,30
41,voronoi,3,5
42,bubble,87,95
43,bar,45,55
44,treemap,83,95
45,treemap,85,80
46,bar,24,25
47,bubble,4,5
48,voronoi,5,5
49,treemap,16,10
50,voronoi,64,85
51,bubble,91,90
52,bar,23,25
53,treemap,79,85
54,voronoi,90,75
55,bar,25,30
56,bubble,77,90
57,bubble,37,50
58,bar,78,80
59,voronoi,7,10
60,treemap,8,5
61,treemap,10,5
62,bubble,48,65
63,bar,60,65
64,voronoi,7,10
65,bubble,25,30
66,voronoi,91,90
67,bar,1,2
68,treemap,49,55
69,voronoi,67,85
70,bar,17,20
71,bubble,85,95
72,treemap,51,45
73,treemap,100,100
74,bubble,69,95
75,bar,33,45
76,voronoi,10,5
77,treemap,85,85
78,bar,77,85
79,bubble,42,75
80,voronoi,8,5
