1,treemap,28,30
2,bar,23,25
3,voronoi,59,45
4,bubble,98,97
5,bubble,4,10
6,voronoi,75,80
7,treemap,37,30
8,bar,68,65
9,bar,45,45
10,treemap,64,75
11,voronoi,4,5
12,bubble,31,75
13,bar,56,55
14,voronoi,42,50
15,treemap,100,90
16,bubble,67,85
17,treemap,44,40
18,voronoi,96,95
19,bar,44,45
20,bubble,12,20
21,bubble,21,30
22,bar,40,45
23,voronoi,95,85
24,treemap,41,30
25,bar,31,35
26,treemap,68,60
27,voronoi,57,75
28,bubble,37,50
29,bar,78,80
30,voronoi,85,75
31,treemap,53,50
32,bubble,93,95
33,treemap,78,65
34,bar,8,10
35,bubble,47,33
36,voronoi,64,80
37,voronoi,26,15
38,bubble,79,95
39,treemap,45,40
40,bar,69,66
41,bubble,72,80
42,voronoi,71,70
43,bar,19,20
44,treemap,69,50
45,voronoi,19,15
46,bubble,51,70
47,bar,18,20
48,treemap,88,90
49,treemap,38,35
50,voronoi,52,75
51,bar,67,66
52,bubble,77,85
53,treemap,80,90
54,bar,51,50
55,bubble,28,50
56,voronoi,36,35
57,treemap,76,70
58,bar,100,100
59,voronoi,44,33
60,bubble,25,25
61,bubble,39,33
62,bar,29,30
63,treemap,72,66
64,voronoi,67,80
65,treemap,54,50
66,bubble,36,50
67,bar,39,40
68,voronoi,81,80
69,bubble,41,75
70,treemap,47,33
71,bar,71,66
72,voronoi,51,40
73,voronoi,23,30
74,bubble,41,60
75,treemap,63,50
76,bar,22,25
77,bar,23,25
78,bubble,60,80
79,voronoi,46,45
80,treemap,77,65
